FID,X,Y,District,Country,Species
206,35.6485019,8.1259904,Ale,Ethiopia,Coffeearabica
207,35.6511857,8.1289073,Ale,Ethiopia,Coffeearabica
208,35.6508076,8.1264293,Ale,Ethiopia,Coffeearabica
209,35.6493129,8.1237915,Ale,Ethiopia,Coffeearabica
210,35.6488556,8.1222943,Ale,Ethiopia,Coffeearabica
211,35.6523851,8.122128,Ale,Ethiopia,Coffeearabica
212,35.6522969,8.1191516,Ale,Ethiopia,Coffeearabica
213,35.6527067,8.1170255,Ale,Ethiopia,Coffeearabica
214,35.6555051,8.1168337,Ale,Ethiopia,Coffeearabica
215,35.6576651,8.1175821,Ale,Ethiopia,Coffeearabica
216,35.6571556,8.1159817,Ale,Ethiopia,Coffeearabica
217,35.6573227,8.1118551,Ale,Ethiopia,Coffeearabica
218,35.6548588,8.1101403,Ale,Ethiopia,Coffeearabica
219,35.6528788,8.1062426,Ale,Ethiopia,Coffeearabica
220,35.6520635,8.1027313,Ale,Ethiopia,Coffeearabica
221,35.6546975,8.1005009,Ale,Ethiopia,Coffeearabica
222,35.6578934,8.0964422,Ale,Ethiopia,Coffeearabica
223,35.6564798,8.0906864,Ale,Ethiopia,Coffeearabica
224,35.6555396,8.0885753,Ale,Ethiopia,Coffeearabica
225,35.6572287,8.0870691,Ale,Ethiopia,Coffeearabica
226,35.657624,8.0887708,Ale,Ethiopia,Coffeearabica
227,35.6603605,8.0862425,Ale,Ethiopia,Coffeearabica
228,35.660994,8.08926,Ale,Ethiopia,Coffeearabica
229,35.5590946,8.1222516,Ale,Ethiopia,Coffeearabica
230,35.5632935,8.1248921,Ale,Ethiopia,Coffeearabica
231,35.5652829,8.1287446,Ale,Ethiopia,Coffeearabica
232,35.5649966,8.1329995,Ale,Ethiopia,Coffeearabica
233,35.5662886,8.1371594,Ale,Ethiopia,Coffeearabica
234,35.5691515,8.139176,Ale,Ethiopia,Coffeearabica
235,35.5730288,8.1396657,Ale,Ethiopia,Coffeearabica
236,35.5751668,8.1373444,Ale,Ethiopia,Coffeearabica
237,35.5790879,8.1365802,Ale,Ethiopia,Coffeearabica
238,35.5777131,8.1343052,Ale,Ethiopia,Coffeearabica
239,35.5755516,8.1355763,Ale,Ethiopia,Coffeearabica
240,35.5726157,8.1358586,Ale,Ethiopia,Coffeearabica
241,35.5718651,8.1348221,Ale,Ethiopia,Coffeearabica
242,35.5718483,8.1310253,Ale,Ethiopia,Coffeearabica
243,35.5703887,8.1292964,Ale,Ethiopia,Coffeearabica
244,35.5681377,8.1273585,Ale,Ethiopia,Coffeearabica
245,35.5703961,8.1250221,Ale,Ethiopia,Coffeearabica
246,35.5699811,8.1213309,Ale,Ethiopia,Coffeearabica
247,35.5670502,8.1170517,Ale,Ethiopia,Coffeearabica
248,35.565705,8.1155833,Ale,Ethiopia,Coffeearabica
249,35.5642476,8.1177041,Ale,Ethiopia,Coffeearabica
250,35.5622071,8.120101,Ale,Ethiopia,Coffeearabica
251,35.5588473,8.1202475,Ale,Ethiopia,Coffeearabica
252,35.5605388,8.1106357,Ale,Ethiopia,Coffeearabica
253,35.5579407,8.1190244,Ale,Ethiopia,Coffeearabica
254,35.4758476,8.0376395,Ale,Ethiopia,Coffeearabica
255,35.4773105,8.0388729,Ale,Ethiopia,Coffeearabica
256,35.4794394,8.0383537,Ale,Ethiopia,Coffeearabica
257,35.4813556,8.0401846,Ale,Ethiopia,Coffeearabica
258,35.4833019,8.0411272,Ale,Ethiopia,Coffeearabica
259,35.4845941,8.0418316,Ale,Ethiopia,Coffeearabica
260,35.4872798,8.0430538,Ale,Ethiopia,Coffeearabica
261,35.4863781,8.0452786,Ale,Ethiopia,Coffeearabica
262,35.4881184,8.0461442,Ale,Ethiopia,Coffeearabica
263,35.4891574,8.0477575,Ale,Ethiopia,Coffeearabica
264,35.490415,8.0498991,Ale,Ethiopia,Coffeearabica
265,35.4902458,8.0526888,Ale,Ethiopia,Coffeearabica
266,35.4889298,8.0558827,Ale,Ethiopia,Coffeearabica
267,35.4860329,8.058769,Ale,Ethiopia,Coffeearabica
268,35.4859031,8.0629927,Ale,Ethiopia,Coffeearabica
269,35.4847614,8.0654277,Ale,Ethiopia,Coffeearabica
270,35.4825391,8.0682843,Ale,Ethiopia,Coffeearabica
271,35.4809647,8.069425,Ale,Ethiopia,Coffeearabica
272,35.4817317,8.07071,Ale,Ethiopia,Coffeearabica
273,35.4804489,8.0744201,Ale,Ethiopia,Coffeearabica
274,35.4807404,8.0840147,Ale,Ethiopia,Coffeearabica
275,35.47952,8.091343,Ale,Ethiopia,Coffeearabica
276,35.6400161,8.02205,Ale,Ethiopia,Coffeearabica
277,35.6391191,8.0265733,Ale,Ethiopia,Coffeearabica
278,35.6372242,8.0291839,Ale,Ethiopia,Coffeearabica
279,35.6366527,8.037358,Ale,Ethiopia,Coffeearabica
280,35.6378954,8.039536,Ale,Ethiopia,Coffeearabica
281,35.6393155,8.0436365,Ale,Ethiopia,Coffeearabica
282,35.6377023,8.046848,Ale,Ethiopia,Coffeearabica
283,35.6389101,8.0522253,Ale,Ethiopia,Coffeearabica
284,35.6408079,8.0582446,Ale,Ethiopia,Coffeearabica
285,35.6419904,8.0630933,Ale,Ethiopia,Coffeearabica
286,35.643499,8.0648921,Ale,Ethiopia,Coffeearabica
287,35.6452274,8.0669172,Ale,Ethiopia,Coffeearabica
288,35.6478579,8.0692785,Ale,Ethiopia,Coffeearabica
289,35.6486067,8.0711434,Ale,Ethiopia,Coffeearabica
290,35.6475228,8.0712658,Ale,Ethiopia,Coffeearabica
291,35.6487296,8.0729976,Ale,Ethiopia,Coffeearabica
292,35.6514231,8.0726443,Ale,Ethiopia,Coffeearabica
293,35.6524001,8.0733471,Ale,Ethiopia,Coffeearabica
294,35.6501495,8.0809099,Ale,Ethiopia,Coffeearabica
295,35.6533706,8.0833928,Ale,Ethiopia,Coffeearabica
296,35.657259,8.0842369,Ale,Ethiopia,Coffeearabica
297,35.6619652,8.0871074,Ale,Ethiopia,Coffeearabica
298,35.6660914,8.0876989,Ale,Ethiopia,Coffeearabica
299,35.5463318,8.1482633,Ale,Ethiopia,Coffeearabica
